percent_gait_cycle,AdductorLongus,AdductorMagnus,BicepsFemorisLongHead,BicepsFemorisShortHead,ExtensorDigitorumLongus,ExtensorHallucisLongus,FlexorDigitorumLongus,FlexorHallucisLongus,Gastrocnemius,GluteusMaximusLower,GluteusMaximusUpper,GluteusMedius,Gracilis,Iliacus,PeroneusBrevis,PeroneusLongus,Popliteus,RectusFemoris,Sartorius,Semimembranosus,Semitendinosus,Soleus,TensorFasciaLata,TibialisAnterior,TibialisPosterior,VastusIntermedius,VastusLateralis,VastusMedialisLongus,VastusMedialisOblique
30.0,0.0,0.0,0.0,0.0,0.0,0.0,18.383678559124185,0.0,49.003802118845606,0.0,0.0,0.480611664609774,0.0,0.0,15.954448026468285,10.867768300474406,3.4009426769252054,0.0,0.0,0.0,0.0,43.478854729451804,21.892078948668996,0.0,10.419437169405828,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3917670999326,2.9137184624825543,56.04720349848144,0.0,0.0,0.0,0.0,0.0,18.34582385444775,11.683090595282838,3.2674283388568757,0.0,0.0,0.0,0.0,46.81471636311677,22.115711704638606,0.0,11.595900158368414,0.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,17.532370452428044,9.22029342437905,58.20856375649687,0.0,0.0,0.0,0.0,0.0,18.595281834363053,12.28341424238487,3.6368398433674725,0.0,0.0,0.0,0.0,51.03345638850446,22.553006041379,0.0,12.05268856716937,0.0,0.0,0.0,0.0
33.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78433008123607,13.789418072255673,57.952627159192346,0.0,0.0,0.0,0.0,0.0,17.958273294854873,13.217515268900074,4.56296197854694,0.0,0.0,0.0,0.0,53.6449639246703,20.967819982319128,0.0,13.671495368598203,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,20.60088099833246,16.506012380638126,59.88823537917916,0.0,0.0,0.0,0.0,0.0,20.00302673923671,15.93115049074655,5.387646188798941,0.0,0.0,0.0,0.0,56.4561798377967,20.221378204404978,0.0,15.517980939235882,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,24.008028386691706,19.931991260504784,63.67079426328487,0.0,0.0,0.0,0.0,0.0,20.007314092988516,16.82970034100259,4.6765822624899895,0.0,0.0,0.0,0.0,59.28865255799524,22.897055177157988,0.0,16.788637950214493,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,26.94680101798696,25.199430641435214,67.42751441464182,0.0,0.0,0.0,0.0,0.0,22.951880759515205,17.219364540760186,7.634581620700671,0.0,0.0,0.0,0.0,62.826605015437956,23.898063563151084,0.0,16.75230008457503,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,27.342565597057398,30.383752141677206,70.75966046709492,0.0,0.0,0.0,0.0,0.0,25.755989288945926,18.756352187901143,12.383291910072586,0.0,0.0,0.0,0.0,67.53328522701767,22.337292385401284,0.0,16.217501216608998,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,30.140037594241697,30.87789631168903,72.04510282699863,0.0,0.0,0.0,0.0,0.0,26.245446765032092,20.675747978304063,15.392699818815544,0.0,0.0,0.0,0.0,72.48124558981443,20.303599594537765,0.0,18.033007505766104,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,30.678355992089298,33.70181022162508,74.30851866498247,0.0,0.0,0.0,0.0,0.0,27.41318906943391,23.11590129891024,13.82645633987465,0.0,0.0,0.0,0.0,75.47576164204915,18.93222917361499,0.0,21.749429319546554,0.0,0.0,0.0,0.0
